plu;kd_brg;tipe;nm_brg;mobil ;nm_grup;kms1;isi;h_beli;h_jual1;foto;merk
;;YA;;;HANGER              ;PCS ;1;168000;310000;;
1120174;;YA;TANG SCHLIEPER;;TANG                ;PCS ;1;48000;95000;;SCHLIEPER                                                
241060930;DUL;YA        ;LAHER KOPEL FUSO PS190;;LAHER KOPEL         ;PCS       ;1;420000;635000;;WAKASA                                                                                              
241060980;;YA        ;LAHER KOPEL FUSO;;LAHER KOPEL         ;PCS       ;1;300000;450000;;WAKASA                                                                                              
25496;RL;YA        ;TIE ROD VERS PS 190 MC025496 LH;;TIE ROD             ;PCS       ;1;30000;95000;;UMC                                                                                                 
268041952;RI;YA;BOS STANG VERS;;BOS VERS;PCS;1;35000;75000;;WAKASA
268260930;IR;YA;BOS STANG VERS .KIT FUSO;;BOS STANG;PCS;1;53000;95000;;WAKASA
34611;;YA        ;TAMBANG 1M 9K;;NO MEREK            ;MTR       ;1;5000;9000;;NOMEREK                                                                                             
615095012;;YA        ;SELANG SOLAR UNIVERSAL;;SELANG              ;PCS       ;1;41200;80000;;WAKASA                                                                                              
79567600282;ED;YA        ;WD-40;;WD-40               ;PCS       ;1;73500;95000;;WD-40                                                                                               
813041952;AI;YA;SEPERATOR ATAS LOHAN / DUTRO;;DUDUKAN FILTER SOLAR;PCS;1;95000;165000;;WAKASA
814041952;;YA        ;GAGANG PINTU HINO LOHAN RH LUAR;;HENDEL PINTU        ;PCS       ;1;94400;175000;;WAKASA                                                                                              
888083575;EL;YA        ;TMO LUBRICANT 10W-40;;OMD                 ;LT        ;1;70000;85000;;TOYOTA                                                                                              
1000708;;YA;ESTRAJOSSS  ULTIMAT KALENG;;MINUMAN             ;PCS ;1;6000;10000;;ESTRAJOSSS                                               
1000709;;YA;KLEM AKI SBD;;KLEM                ;PCS ;1;27500;45000;;SBD                                                      
1001000;DA;YA        ;MPX1;;OMB                 ;LT        ;1;49000;60000;;HONDA                                                                                               
1002000;IL;YA        ;MPX2;;OMB                 ;LT        ;1;49855;60000;;HONDA                                                                                               
1002001;RG;YA;FILTER OLI 90915-YZZZ2;;F.OIL ;PCS;1;38000;95000;;TOYOTA
1003000;EL;YA        ;TMO LUBRICANT 10W-40;;OMB                ;LT        ;1;70000;85000;;TOYOTA                                                                                              
1003002;IR;YA;FILTER OLI DENS0 DEX-1010;;F.OIL ;PCS;1;53000;95000;;DENSO
