"id","name_id","name_en","brand","sku","price","img","badge","vehicles","compat_id","compat_en"
"1120174","TANG SCHLIEPER","TANG SCHLIEPER","SCHLIEPER","1120174","95000","","aftermarket","","",""
"241060930","LAHER KOPEL FUSO PS190","LAHER KOPEL FUSO PS190","WAKASA","241060930","635000","","aftermarket","","",""
"241060980","LAHER KOPEL FUSO","LAHER KOPEL FUSO","WAKASA","241060980","450000","","aftermarket","","",""
"25496","TIE ROD VERS PS 190 MC025496 LH","TIE ROD VERS PS 190 MC025496 LH","UMC","25496","95000","","aftermarket","","",""
"268041952","BOS STANG VERS","BOS STANG VERS","WAKASA","268041952","75000","","aftermarket","","",""
"268260930","BOS STANG VERS .KIT FUSO","BOS STANG VERS .KIT FUSO","WAKASA","268260930","95000","","aftermarket","","",""
"34611","TAMBANG 1M 9K","TAMBANG 1M 9K","NOMEREK","34611","9000","","aftermarket","","",""
"615095012","SELANG SOLAR UNIVERSAL","SELANG SOLAR UNIVERSAL","WAKASA","615095012","80000","","aftermarket","","",""
"79567600282","WD-40","WD-40","WD-40","79567600282","95000","","aftermarket","","",""
"813041952","SEPERATOR ATAS LOHAN / DUTRO","SEPERATOR ATAS LOHAN / DUTRO","WAKASA","813041952","165000","","aftermarket","","",""
"814041952","GAGANG PINTU HINO LOHAN RH LUAR","GAGANG PINTU HINO LOHAN RH LUAR","WAKASA","814041952","175000","","aftermarket","","",""
"888083575","TMO LUBRICANT 10W-40","TMO LUBRICANT 10W-40","TOYOTA","888083575","85000","","original","","",""
"1000708","ESTRAJOSSS  ULTIMAT KALENG","ESTRAJOSSS  ULTIMAT KALENG","ESTRAJOSSS","1000708","10000","","aftermarket","","",""
"1000709","KLEM AKI SBD","KLEM AKI SBD","SBD","1000709","45000","","aftermarket","","",""
"1001000","MPX1","MPX1","HONDA","1001000","60000","","original","","",""
"1002000","MPX2","MPX2","HONDA","1002000","60000","","original","","",""
"1002001","FILTER OLI 90915-YZZZ2","FILTER OLI 90915-YZZZ2","TOYOTA","1002001","95000","","original","","",""
